Please provide hourly results in ug/m3 of NO2 and Nox monitoring conducted in Dublin City in a tabular format by completing the table below. ,,,,,,,,,,,,,,,,,,,,,
Please also provide a flag number (see comment for list) for the data entered if possible. The comment field is optional.,,,,,,,,,,,,,,,,,,,,,
If any new stations have been added to the network please give details (scroll across). ,,,,,,,,,,,,,,,,,,,,,
Please indicate if any of the stations listed have been removed from the network.,,,,,,,,,,,,,,,,,,,,,
Dublin City Council,,,,,,,,,,,,,,,,,,,,,
Site,,                                          College Street ,,Ballyfermot MPS,,,,                                           Coleraine Street ,,,,,,                              Wood Quay (Winetavern St.),,,,,,,
Date,Time,NO2 ug/m3,NO ug/m3,NOx ug/m3,NO2 Check,Flag,Comment,NO2 ug/m3,NO ug/m3,NOx ug/m3,NO2 Check,Flag,Comment,NO2 ug/m3,NO ug/m3,NOx ug/m3,NO2 Check,Flag,Comment,,
01/01/2011,01:00,,,,0,,,23.7,5.3,28.9,24,2,,48.9,37.5,86.5,48.9,2,,,
01/01/2011,02:00,,,,0,,,24.0,6.5,30.5,24,2,,44.1,17.8,61.9,44.1,2,,,
01/01/2011,03:00,,,,0,,,26.8,12.8,39.6,27,2,,35.0,5.9,41.0,35.0,2,,,
01/01/2011,04:00,,,,0,,,27.0,12.8,39.9,27,2,,38.3,10.7,49.0,38.3,2,,,
01/01/2011,05:00,,,,0,,,19.3,5.4,24.7,19,2,,35.5,8.4,43.9,35.5,2,,,
01/01/2011,06:00,,,,0,,,25.2,13.2,38.4,25,2,,33.7,5.4,39.1,33.7,2,,,
01/01/2011,07:00,,,,0,,,22.5,20.6,43.1,23,2,,38.4,13.0,51.4,38.4,2,,,
01/01/2011,08:00,,,,0,,,13.6,4.6,18.3,14,2,,30.2,3.0,33.2,30.2,2,,,
01/01/2011,09:00,,,,0,,,13.0,3.7,16.7,13,2,,35.5,4.0,39.5,35.5,2,,,
01/01/2011,10:00,,,,0,,,10.6,2.0,12.6,11,2,,32.4,5.8,38.2,32.4,2,,,
01/01/2011,11:00,,,,0,,,13.8,5.9,19.8,14,2,,27.1,4.4,31.5,27.1,2,,,
01/01/2011,12:00,,,,0,,,18.5,7.0,25.4,18,2,,29.8,4.8,34.7,29.8,2,,,
01/01/2011,13:00,,,,0,,,22.2,8.2,30.4,22,2,,25.3,4.2,29.5,25.3,2,,,
01/01/2011,14:00,,,,0,,,19.0,4.8,23.7,19,2,,25.2,4.3,29.5,25.2,2,,,
01/01/2011,15:00,,,,0,,,19.4,3.2,22.6,19,2,,22.0,2.4,24.4,22.0,2,,,
01/01/2011,16:00,,,,0,,,34.2,8.1,42.3,34,2,,24.9,2.6,27.5,24.9,2,,,
01/01/2011,17:00,,,,0,,,33.0,7.6,40.5,33,2,,32.7,2.8,35.4,32.7,2,,,
