Please provide hourly results in ug/m3 of SO2  monitoring conducted in Dublin City in a tabular format by completing the table below. ,,,,,,,,,,,,,
The daily average will calculate automatically. Please also provide a flag number (see comment for list) for the data entered if possible. ,,,,,,,,,,,,,
The comment field is optional. If any new stations have been added to the network please give details (scroll across). ,,,,,,,,,,,,,
Please indicate if any of the stations listed have been reomved from the network.,,,,,,,,,,,,,
Dublin City Council,,                  Coleraine Street ,,,,                        Wood Quay (Winetavern St.),,,,                               ,,Ballyfermot,
Site,,,,,,                ,,,,,,,
Date,Time,SO2 ug/m3,Daily Avg 24 hr.,Flag,Comment,SO2 ug/m3,Daily Avg 24 hr.,Flag,Comment,SO2 ug/m3,Daily Avg 24 hr.,Flag,Comment
01/01/2012,0.00,,,,,,,,,,,,
01/01/2012,1.00,-0.6,,2,,-0.6,,2,,,,,
01/01/2012,2.00,-0.6,,2,,-0.7,,2,,,,,
01/01/2012,3.00,-0.7,,2,,-0.7,,2,,,,,
01/01/2012,4.00,-0.6,,2,,-0.9,,2,,,,,
01/01/2012,5.00,-0.6,,2,,-0.6,,2,,,,,
01/01/2012,6.00,-0.6,,2,,-0.9,,2,,,,,
01/01/2012,7.00,-0.6,,2,,-1.0,,2,,,,,
01/01/2012,8.00,-0.9,,2,,-0.7,,2,,,,,
01/01/2012,9.00,-0.9,,2,,-0.8,,2,,,,,
01/01/2012,10.00,-0.7,,2,,-0.6,,2,,,,,
01/01/2012,11.00,-0.6,,2,,-0.6,,2,,,,,
01/01/2012,12.00,-0.6,,2,,-0.5,,2,,,,,
01/01/2012,13.00,-0.7,,2,,-0.6,,2,,,,,
01/01/2012,14.00,-0.6,,2,,-0.4,,2,,,,,
01/01/2012,15.00,-0.6,,2,,-0.4,,2,,,,,
01/01/2012,16.00,-0.9,,2,,-0.4,,2,,,,,
01/01/2012,17.00,-0.4,,2,,-0.6,,2,,,,,
01/01/2012,18.00,-0.6,,2,,-0.5,,2,,,,,
01/01/2012,19.00,-0.6,,2,,-0.5,,2,,,,,
01/01/2012,20.00,-0.4,,2,,-0.6,,2,,,,,
